,pitch_type,event
425173,SL,Flyout
425187,SI,Groundout
426033,CH,Flyout
426062,FF,Groundout
426806,FT,Flyout
426820,FF,Groundout
426830,FT,Flyout
427422,FT,Groundout
427433,CH,Groundout
427451,FT,Home Run
427458,FF,Double
428035,CU,Hit By Pitch
428055,SL,Groundout
428749,SI,Field Error
428759,FC,Single
428772,FC,Fielders Choice Out
428787,FF,Home Run
428801,SL,Pop Out
429457,CH,Lineout
430209,FT,Home Run
430231,SL,Single
431031,FT,Single
432041,FF,Flyout
432055,SL,Groundout
432930,FT,Groundout
432954,FT,Home Run
432975,FF,Double
433785,FC,Single
433803,FF,Single
433812,SL,Groundout
435296,FT,Groundout
435323,CH,Flyout
435333,SL,Home Run
436117,SL,Double
436132,SI,Lineout
437369,FT,Groundout
438811,SL,Groundout
438820,SI,Groundout
438844,FC,Groundout
438864,CU,Home Run
440084,FT,Grounded Into DP
440092,FT,Sac Fly
440885,SI,Groundout
440896,SL,Groundout
440906,SL,Groundout
440919,SL,Home Run
441707,FT,Field Error
443096,FT,Lineout
443108,SL,Flyout
443134,SI,Single
443866,SL,Sac Fly
443879,CU,Double
443905,FF,Flyout
444375,CH,Single
444384,SL,Single
445102,SL,Groundout
445120,FC,Double
445132,SL,Single
445860,SL,Double
445871,CH,Double
445877,FC,Field Error
445888,SL,Groundout
446640,FF,Groundout
446978,SI,Groundout
447834,SI,Flyout
447844,FC,Groundout
447856,FF,Single
448485,SI,Double
448513,CH,Single
448525,SI,Single
449017,FF,Home Run
449037,FF,Lineout
449611,FT,Single
450419,CU,Groundout
450443,SL,Flyout
451201,CH,Groundout
451218,CU,Groundout
451232,FC,Lineout
451266,FC,Groundout
451902,SL,Flyout
451907,SL,Home Run
451928,FF,Single
452666,SI,Groundout
452679,CH,Single
454489,FC,Lineout
454503,FF,Lineout
454532,FF,Home Run
455329,CH,Groundout
456046,FT,Home Run
456057,FC,Flyout
456069,SL,Single
456082,FF,Single
456771,FC,Home Run
456811,FF,Lineout
457408,FF,Flyout
457424,SL,Single
457435,CU,Single
457448,FT,Forceout
458284,FF,Home Run
459833,SI,Field Error
459857,FF,Flyout
460590,FF,Home Run
461403,SI,Single
461416,SI,Flyout
461443,FC,Single
462149,FT,Lineout
462161,SL,Single
462196,SL,Flyout
462205,FF,Forceout
462218,SL,Single
462248,FF,Single
462838,FT,Groundout
462852,SL,Groundout
462866,FT,Single
463703,SL,Flyout
463711,FF,Single
463721,CH,Flyout
464266,CU,Flyout
464282,SI,Flyout
464296,CU,Double
464307,FC,Flyout
464318,FF,Groundout
465034,FF,Groundout
465054,SL,Flyout
465072,FF,Hit By Pitch
465891,SL,Single
466670,FF,Single
467731,SI,Groundout
467744,SI,Single
467757,SI,Single
467768,FT,Lineout
467779,FT,Single
468464,SI,Single
468476,SL,Flyout
468490,SL,Double
468503,FF,Home Run
469923,CU,Flyout
470650,SL,Single
470658,SI,Groundout
471352,FF,Single
471377,SI,Groundout
471390,CU,Pop Out
471801,FF,Hit By Pitch
471813,SL,Single
509804,FF,Lineout
509816,FC,Grounded Into DP
509831,FF,Flyout
510551,CH,Lineout
510558,FC,Field Error
510572,FT,Groundout
510587,FT,Single
511262,FC,Lineout
511282,KN,Pop Out
511704,FF,Single
511726,FF,Groundout
511754,SL,Double
512536,SL,Groundout
514346,FC,Pop Out
514378,FC,Double
515102,FF,Lineout
515124,FC,Single
515131,FF,Flyout
515947,SI,Single
515969,SL,Single
516398,SL,Groundout
516408,SL,Sac Fly
516420,FF,Sac Fly
517080,FF,Flyout
517098,CU,Single
517122,FF,Home Run
518656,CH,Groundout
518672,KC,Grounded Into DP
